nct_id,drug_mesh,cond_mesh,mesh_type
NCT00619983,Gabapentin,Neuralgia,mesh-list
NCT00619983,Gabapentin,Diabetic Neuropathies,mesh-list
NCT00619983,Gabapentin,Back Pain,mesh-list
NCT00619983,Gabapentin,Low Back Pain,mesh-list
NCT00619983,Gabapentin,Pain,mesh-ancestor
NCT00619983,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00619983,Gabapentin,Peripheral Nervous System Diseases,mesh-ancestor
NCT00619983,Gabapentin,Neuromuscular Diseases,mesh-ancestor
NCT00619983,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00619983,Gabapentin,Diabetes Complications,mesh-ancestor
NCT00619983,Gabapentin,Diabetes Mellitus,mesh-ancestor
NCT00619983,Gabapentin,Endocrine System Diseases,mesh-ancestor
NCT00620555,Gabapentin,"Epilepsies, Partial",mesh-list
NCT00620555,Gabapentin,Epilepsy,mesh-ancestor
NCT00620555,Gabapentin,Brain Diseases,mesh-ancestor
NCT00620555,Gabapentin,Central Nervous System Diseases,mesh-ancestor
NCT00620555,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00624455,Gabapentin,"Pain, Postoperative",mesh-list
NCT00624455,Gabapentin,Postoperative Complications,mesh-ancestor
NCT00624455,Gabapentin,Pathologic Processes,mesh-ancestor
NCT00624455,Gabapentin,Pain,mesh-ancestor
NCT00624455,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00603473,Gabapentin,Seizures,mesh-list
NCT00603473,Gabapentin,"Epilepsies, Partial",mesh-list
NCT00603473,Gabapentin,Epilepsy,mesh-ancestor
NCT00603473,Gabapentin,Brain Diseases,mesh-ancestor
NCT00603473,Gabapentin,Central Nervous System Diseases,mesh-ancestor
NCT00603473,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00603473,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00593463,Gabapentin,Substance-Related Disorders,mesh-list
NCT00593463,Gabapentin,Chemically-Induced Disorders,mesh-ancestor
NCT00593463,Gabapentin,Mental Disorders,mesh-ancestor
NCT00588159,Gabapentin,,
NCT00584779,Gabapentin,Renal Insufficiency,mesh-list
NCT00584779,Gabapentin,Kidney Diseases,mesh-ancestor
NCT00584779,Gabapentin,Urologic Diseases,mesh-ancestor
NCT00578552,Gabapentin,,
NCT00572208,Gabapentin,"Pain, Postoperative",mesh-list
NCT00572208,Gabapentin,Postoperative Complications,mesh-ancestor
NCT00572208,Gabapentin,Pathologic Processes,mesh-ancestor
NCT00572208,Gabapentin,Pain,mesh-ancestor
NCT00572208,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00577967,Gabapentin,Pruritus,mesh-list
NCT00577967,Gabapentin,Skin Diseases,mesh-ancestor
NCT00577967,Gabapentin,Skin Manifestations,mesh-ancestor
NCT00573664,Gabapentin,"Pain, Postoperative",mesh-list
NCT00573664,Gabapentin,Postoperative Complications,mesh-ancestor
NCT00573664,Gabapentin,Pathologic Processes,mesh-ancestor
NCT00573664,Gabapentin,Pain,mesh-ancestor
NCT00573664,Gabapentin,Neurologic Manifestations,mesh-ancestor
NCT00567268,Gabapentin,"Epilepsies, Partial",mesh-list
NCT00567268,Gabapentin,Epilepsy,mesh-ancestor
NCT00567268,Gabapentin,Brain Diseases,mesh-ancestor
NCT00567268,Gabapentin,Central Nervous System Diseases,mesh-ancestor
NCT00567268,Gabapentin,Nervous System Diseases,mesh-ancestor
NCT00555776,Gabapentin,Tinnitus,mesh-list
NCT00555776,Gabapentin,Hearing Disorders,mesh-ancestor
NCT00555776,Gabapentin,Ear Diseases,mesh-ancestor
NCT00555776,Gabapentin,Otorhinolaryngologic Diseases,mesh-ancestor
